employee_id,salary,effective_date
1,101150,2019-10-31
1,88313,2020-10-09
1,129206,2021-09-07
1,124981,2022-09-07
1,77096,2023-06-12
1,141522,2024-04-11
2,51993,2020-10-05
2,89769,2021-06-16
3,148131,2022-12-15
3,81505,2023-10-03
3,101787,2024-09-18
3,79002,2025-07-28
3,144420,2026-05-10
4,115805,2017-02-14
4,110201,2018-01-06
4,130512,2019-01-04
4,76673,2019-09-15
4,143030,2020-05-17
4,34846,2021-05-10
5,140850,2023-01-01
5,70443,2023-09-07
5,149855,2024-03-27
5,141092,2025-03-10
5,75673,2025-10-26
5,89107,2026-06-06
5,122623,2027-03-29
6,65626,2022-07-19
6,126419,2023-04-04
6,86941,2024-03-26
6,106526,2025-02-11
6,136914,2025-09-26
6,117884,2026-06-13
6,49986,2027-05-21
6,35757,2028-03-07
6,96219,2029-02-24
6,74222,2030-01-05
7,67854,2016-12-12
7,138666,2017-08-07
7,131875,2018-06-05
7,88560,2019-05-10
7,70763,2020-03-25
8,133833,2018-01-04
8,146001,2018-10-17
8,146685,2019-08-03
8,129480,2020-06-05
8,144233,2020-12-06
8,102124,2021-06-26
8,94627,2022-04-30
9,115647,2018-08-22
9,43729,2019-07-03
9,57388,2020-01-26
9,116092,2020-07-26
9,142125,2021-03-31
10,43113,2017-10-03
10,119489,2018-09-25
10,148768,2019-03-30
10,57446,2019-11-29
10,125200,2020-10-25
10,115975,2021-09-21
10,122904,2022-04-07
10,107380,2023-04-02
11,106015,2022-03-11
11,49202,2022-11-21
11,109795,2023-10-20
11,44420,2024-09-12
11,101775,2025-07-11
11,127112,2026-05-09
12,110395,2018-11-05
12,138984,2019-06-23
12,142486,2020-01-07
12,142523,2020-08-21
12,32454,2021-06-20
12,118200,2022-03-18
13,39318,2018-08-09
14,138815,2020-06-10
14,78871,2021-04-13
14,124201,2022-01-01
14,46394,2022-10-22
14,30953,2023-06-10
14,62109,2024-04-01
14,89233,2025-02-08
14,63637,2025-12-17
14,116026,2026-06-27
15,47483,2021-07-19
15,126554,2022-05-14
15,135917,2022-12-25
15,116691,2023-07-30
16,116643,2019-10-17
16,105262,2020-04-20
16,33435,2020-11-13
16,103040,2021-11-13
16,119931,2022-08-15
16,149331,2023-05-21
16,120429,2024-04-06
16,51418,2025-03-17
16,93821,2026-02-01
17,50610,2022-06-14
17,43364,2023-04-01
17,35116,2023-10-12
17,72496,2024-05-20
18,44980,2025-02-19
18,99519,2025-09-15
18,119544,2026-07-12
18,89740,2027-05-13
18,50761,2027-12-09
19,107397,2022-10-02
20,104480,2018-11-27
20,126874,2019-07-13
20,106410,2020-04-28
20,59595,2021-02-17
20,99360,2022-01-27
21,137021,2023-12-28
21,60645,2024-10-15
21,141834,2025-08-19
21,45549,2026-06-11
21,64328,2027-06-10
21,68285,2028-05-23
21,141855,2028-12-18
21,126911,2029-08-22
21,116403,2030-05-19
22,76153,2017-04-04
22,53763,2017-11-03
23,149905,2020-01-08
23,125237,2020-11-01
23,69433,2021-07-01
23,125460,2022-04-20
23,76938,2023-01-02
23,123366,2023-10-27
23,133918,2024-09-11
23,137525,2025-08-22
24,116692,2022-11-16
24,135307,2023-07-11
24,128140,2024-07-09
24,72862,2025-06-09
25,68490,2015-12-10
25,34146,2016-11-07
25,66885,2017-09-19
25,141060,2018-06-17
25,135231,2019-01-15
25,108286,2019-10-07
25,37270,2020-04-14
25,127597,2021-01-24
25,111462,2021-12-11
26,86942,2025-01-05
26,96737,2026-01-01
26,144100,2026-07-20
26,54844,2027-05-05
26,118027,2027-11-29
26,110167,2028-06-14
27,52493,2020-03-05
27,111835,2021-01-30
27,90680,2021-11-18
27,102858,2022-10-24
28,137717,2018-05-18
28,51195,2019-05-17
28,127325,2019-12-31
28,51217,2020-07-07
28,125188,2021-06-13
28,63187,2022-02-14
28,38935,2023-02-03
28,90590,2023-11-21
29,118869,2015-08-21
29,46806,2016-03-15
29,81748,2016-11-16
29,103673,2017-08-03
29,99018,2018-07-08
29,133347,2019-06-11
29,118556,2020-04-18
29,147501,2021-03-27
29,105759,2022-01-21
29,80279,2023-01-14
30,87520,2017-09-22
30,143680,2018-03-23
30,130846,2018-11-11
30,64178,2019-06-30
30,61098,2020-05-30
30,122255,2021-05-21
31,53272,2017-12-07
31,73707,2018-11-09
31,75953,2019-06-19
31,88268,2020-06-11
31,141125,2020-12-13
31,40537,2021-09-17
31,149406,2022-08-29
31,36943,2023-03-19
31,56000,2024-03-10
32,141041,2023-07-12
32,138691,2024-06-22
33,119535,2018-07-13
33,90095,2019-02-20
33,103249,2019-10-15
34,54026,2024-07-17
34,45331,2025-01-21
35,124220,2017-02-18
36,43247,2019-12-14
36,140582,2020-06-21
36,69153,2021-06-16
37,120842,2018-10-23
37,92475,2019-05-13
37,54063,2020-03-12
38,60055,2023-12-10
39,111305,2020-03-07
39,36217,2020-11-04
39,76503,2021-09-26
39,35121,2022-05-23
39,113670,2023-04-08
39,148797,2024-02-22
39,116738,2025-01-14
39,56025,2025-10-30
39,92379,2026-07-28
39,134611,2027-06-07
40,58422,2021-10-01
40,39070,2022-05-06
41,116885,2021-11-03
41,85633,2022-07-18
41,128745,2023-06-28
41,123216,2024-06-12
41,59650,2025-03-05
41,31315,2025-10-16
41,120787,2026-04-20
41,55424,2026-12-12
41,102278,2027-09-10
41,69537,2028-04-29
42,75637,2016-02-13
42,115993,2016-09-15
42,138372,2017-07-17
43,82606,2022-06-20
43,104865,2023-05-23
43,66401,2024-05-20
44,132506,2019-01-09
44,142074,2020-01-07
44,123267,2020-07-12
45,117271,2015-10-17
46,56716,2015-07-23
46,38119,2016-01-21
46,36163,2016-09-19
46,108836,2017-03-27
46,59232,2017-10-17
46,39868,2018-06-28
46,86609,2019-05-21
46,89313,2020-01-03
47,57596,2018-11-05
47,54268,2019-09-02
47,81103,2020-03-09
47,74615,2020-12-04
47,82416,2021-07-17
47,43249,2022-03-06
48,55639,2020-09-20
48,144866,2021-05-25
48,144340,2021-12-27
48,142366,2022-07-11
48,91127,2023-03-03
49,137777,2024-05-30
49,99899,2025-03-29
49,67671,2026-02-22
49,62929,2026-09-17
49,99996,2027-04-22
49,148240,2027-11-20
49,31277,2028-11-15
49,103919,2029-07-31
49,48474,2030-06-14
49,114394,2031-01-28
50,43689,2018-07-09
50,136719,2019-01-10
51,78427,2017-04-16
51,47113,2018-03-09
51,93748,2018-12-19
51,96667,2019-07-21
51,66173,2020-03-11
52,42620,2021-02-08
52,58788,2021-12-13
52,107080,2022-11-13
52,113240,2023-05-19
53,65640,2024-02-09
53,113903,2024-11-10
53,124005,2025-07-20
53,148949,2026-03-07
53,119120,2026-09-05
53,65075,2027-03-06
53,67225,2028-02-17
54,133327,2016-12-10
54,87008,2017-09-13
55,95576,2017-07-13
56,134904,2022-12-03
56,120675,2023-06-04
56,115197,2024-04-12
56,75718,2024-10-17
56,145068,2025-09-20
56,121960,2026-04-28
56,80423,2026-11-01
56,110985,2027-07-19
56,128258,2028-02-02
56,34991,2029-01-31
57,59124,2020-03-03
57,77149,2020-12-29
58,42897,2018-03-16
58,61653,2019-03-02
58,101147,2019-10-13
58,130036,2020-08-14
58,116476,2021-04-23
58,75163,2022-04-13
58,39133,2022-10-23
59,59357,2016-01-15
59,31663,2016-08-07
59,88921,2017-07-16
60,131330,2015-07-26
60,51082,2016-04-02
60,122068,2017-01-30
60,96441,2018-01-26
61,109466,2024-02-04
61,111427,2024-10-25
61,125749,2025-08-18
61,77752,2026-02-21
61,64794,2026-08-22
61,65724,2027-03-12
61,147017,2027-09-10
61,98921,2028-03-09
61,132018,2028-09-23
61,42527,2029-04-21
62,147961,2017-11-30
62,145680,2018-11-15
62,68950,2019-07-01
63,134438,2025-01-25
63,106331,2025-12-19
63,143561,2026-11-13
64,30668,2018-10-08
64,135444,2019-08-15
64,85258,2020-02-13
64,71100,2020-09-28
64,86643,2021-09-09
65,74734,2018-05-05
65,75699,2019-03-30
65,40470,2020-01-17
65,78843,2020-12-12
65,81126,2021-07-06
65,94085,2022-01-31
66,65999,2017-07-22
66,66670,2018-03-29
66,70897,2018-11-16
66,87882,2019-07-07
66,132028,2020-06-07
66,74867,2021-02-05
66,73421,2021-09-27
66,144225,2022-08-04
66,120313,2023-04-17
66,109244,2024-03-08
67,83289,2017-04-27
67,135365,2018-04-10
67,40047,2019-03-07
67,46442,2019-11-27
67,66544,2020-08-14
67,105599,2021-04-09
67,78946,2022-01-03
67,138089,2022-07-29
67,71865,2023-02-15
68,110759,2018-05-26
68,42298,2019-03-02
68,146733,2020-01-16
68,139359,2020-11-23
68,43904,2021-08-11
68,36966,2022-07-18
69,91065,2017-09-11
70,54096,2023-06-05
70,103433,2024-02-06
70,136904,2024-11-05
70,64161,2025-08-15
71,73601,2019-02-08
71,124524,2020-01-17
71,102880,2020-12-05
71,51487,2021-11-01
71,38852,2022-05-24
71,48969,2023-02-05
71,106660,2023-08-05
71,117469,2024-04-27
71,82255,2024-11-17
72,127628,2018-05-28
72,55992,2019-01-12
72,62844,2019-09-01
72,123488,2020-08-21
72,137980,2021-05-25
72,78831,2022-05-15
72,117381,2022-11-17
72,35736,2023-10-01
73,92437,2022-01-21
73,79142,2022-12-11
73,90104,2023-12-10
73,41653,2024-09-03
73,103509,2025-08-03
73,56916,2026-02-11
73,48374,2027-01-08
73,65450,2027-10-01
74,60335,2024-06-06
74,143675,2025-02-17
74,97303,2025-12-10
74,86200,2026-10-27
74,88265,2027-09-08
74,38881,2028-04-01
74,146023,2028-12-18
74,130533,2029-07-25
74,128196,2030-06-11
75,130015,2020-03-04
76,135279,2022-04-24
76,111069,2022-12-01
76,97038,2023-06-04
76,120511,2024-03-10
76,76009,2024-11-01
76,126108,2025-10-20
77,146040,2016-08-30
77,57845,2017-04-25
77,120266,2017-10-30
77,122041,2018-08-08
77,62443,2019-03-05
77,52082,2020-02-11
77,93345,2021-01-08
77,96648,2021-11-29
77,62713,2022-10-06
77,53178,2023-07-17
78,60412,2017-06-29
78,67480,2018-04-01
78,83278,2019-01-04
78,88529,2019-11-02
78,102829,2020-10-11
78,36059,2021-10-10
78,93721,2022-08-31
78,131804,2023-07-12
78,81351,2024-06-28
78,108917,2025-06-06
79,92960,2021-09-16
79,119110,2022-03-19
79,77011,2023-03-12
79,116842,2024-02-28
79,149842,2024-09-04
79,50982,2025-06-22
80,83869,2024-12-25
80,147348,2025-08-08
80,94668,2026-06-11
80,112363,2027-02-27
80,117937,2027-09-06
80,67699,2028-05-16
80,135171,2029-04-09
80,46748,2029-12-02
80,111131,2030-07-29
81,51251,2024-04-25
81,95400,2025-03-13
82,48298,2023-01-21
82,41501,2023-09-06
82,57161,2024-06-28
82,37926,2025-04-20
82,78744,2025-11-06
82,87920,2026-08-17
82,50207,2027-02-25
82,92076,2027-10-27
82,89902,2028-08-12
83,85543,2021-07-28
83,45112,2022-05-25
84,60394,2023-08-15
84,49643,2024-07-18
84,90649,2025-04-04
84,142900,2026-01-12
84,115186,2027-01-07
84,95071,2027-11-10
84,88852,2028-08-05
85,122409,2019-11-05
85,50621,2020-07-26
85,122217,2021-06-05
85,40195,2022-04-30
85,43238,2023-02-16
85,43308,2023-12-15
86,149945,2022-05-31
86,118249,2023-03-15
86,132736,2024-02-18
86,127445,2024-11-23
86,117081,2025-06-10
86,140354,2025-12-26
87,111239,2023-09-30
87,47807,2024-06-02
87,141076,2025-04-30
88,89332,2018-11-11
89,54841,2022-06-07
89,88414,2023-04-12
89,54988,2023-12-05
89,119871,2024-07-10
90,102369,2018-10-07
90,56297,2019-08-05
90,92125,2020-07-10
90,109211,2021-03-07
90,41735,2021-11-01
91,96688,2018-11-15
91,140654,2019-07-01
92,89660,2024-11-26
93,100124,2023-04-29
93,74682,2024-01-19
93,77911,2024-11-29
93,41592,2025-08-22
93,97473,2026-05-30
93,74971,2026-12-20
93,37176,2027-10-30
94,117873,2020-12-17
94,71078,2021-07-28
94,110335,2022-07-20
94,49458,2023-06-19
94,64952,2024-06-10
94,32053,2025-01-07
95,109935,2018-05-14
95,76203,2019-01-21
95,108955,2019-08-27
95,70968,2020-07-18
95,66766,2021-05-25
95,131649,2022-03-04
95,145957,2022-09-17
95,70136,2023-04-30
95,143538,2024-03-15
96,40226,2018-12-17
96,47761,2019-11-29
97,101225,2017-11-12
97,134951,2018-10-10
97,111862,2019-08-12
97,68411,2020-04-05
98,143181,2015-08-21
99,130202,2015-03-17
99,64583,2015-12-03
99,141952,2016-07-16
99,108044,2017-03-06
99,130979,2017-10-19
99,60227,2018-05-30
100,134288,2017-02-05
100,142655,2017-11-22
100,67944,2018-11-22
100,35158,2019-08-17
100,45190,2020-04-27
100,112173,2021-01-04
